,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(12,)",[0.72260476 0.82089317 0.74969659 0.65541164],0.7371515421046205,"('12',)",0.09504698977318153,0.0592938845019598,0.034233340178505066
2,"(12, 17)",[0.78262232 0.84715416 0.79984708 0.72300404],0.7881569001181229,"('12', '17')",0.07120586879377588,0.044420897181439725,0.025646416945348915
3,"(12, 13, 17)",[0.86203635 0.86246917 0.80430871 0.72356737],0.8130954002613949,"('12', '13', '17')",0.09112162485399238,0.05684509433299308,0.03281953051526323
4,"(1, 12, 13, 17)",[0.86315017 0.86155662 0.81638591 0.75043123],0.8228809833238537,"('1', '12', '13', '17')",0.07349527307407142,0.045849113617310894,0.02647099808906018
5,"(0, 1, 12, 13, 17)",[0.85730565 0.86292619 0.81922127 0.76396945],0.8258556408288984,"('0', '1', '12', '13', '17')",0.0632987091837655,0.03948811383108467,0.02279847315016732
6,"(0, 1, 12, 13, 14, 17)",[0.8590248  0.86255997 0.82081113 0.76425491],0.8266627039323462,"('0', '1', '12', '13', '14', '17')",0.06343884572116278,0.03957553627005689,0.022848946518841146
7,"(0, 1, 9, 12, 13, 14, 17)",[0.85730868 0.86160051 0.82036209 0.76556531],0.8262091450156547,"('0', '1', '9', '12', '13', '14', '17')",0.061728272693037545,0.038508416524298844,0.02223284464637017
8,"(0, 1, 9, 12, 13, 14, 15, 17)",[0.84370678 0.85312278 0.82212793 0.76720064],0.8215395314324121,"('0', '1', '9', '12', '13', '14', '15', '17')",0.053417708506914144,0.03332397423765671,0.019239605496579257
9,"(0, 1, 9, 12, 13, 14, 15, 17, 18)",[0.83568456 0.85321812 0.81248407 0.76275471],0.8160353657024519,"('0', '1', '9', '12', '13', '14', '15', '17', '18')",0.0544783016841424,0.03398561212334053,0.01962160230798486
10,"(0, 1, 9, 12, 13, 14, 15, 16, 17, 18)",[0.83645334 0.85404137 0.81351263 0.76269701],0.8166760883881772,"('0', '1', '9', '12', '13', '14', '15', '16', '17', '18')",0.055011997945835646,0.03431855191002377,0.019813825183450366
